street_name,lat,lon
Lantern Hill Road,41.662838,-72.887314
Raymonds Circle,41.166084,-73.24086
Middlesex Avenue,41.578403,-72.63927
Story Hill Road,41.408154,-72.44769
Liberty Street,41.29657,-72.93032
Candlewood Road,41.72908,-72.59086
Salem Straits,41.057644,-73.4719
Robbie Road,41.903973,-72.34816
Coves End Road,41.06407,-73.45373
Charter Road,41.683468,-72.65904
Ledgewood Road,41.629047,-73.134544
Juniper Lane,41.54577,-73.44165
Vine Hill Road,41.73375,-72.738686
Blohm Street,41.262604,-72.94742
1St Avenue,41.33303,-72.171104
Quinnipiac Court,41.528133,-72.866646
Grove Street,41.586155,-72.88886
Maltbie Avenue,41.100193,-73.56255
Dexter Street,41.73498,-72.71059
Summit Wood Drive,41.58278,-72.79332
New Lane,41.601078,-72.65089
Hunter Drive,41.277966,-72.669754
Olive Lane,41.100754,-73.4452
Chase Avenue,41.581745,-73.03512
New England Drive,41.134083,-73.53061
Stonebridge Road,41.19492,-73.38973
Delmont Street,41.784626,-72.52045
Beacon Street,41.447094,-73.06626
Garden Street,41.797703,-72.67869
Chapel Hill Road,41.647778,-73.42062
King South Court,41.895794,-72.55977
Progress Avenue,41.39028,-73.05589
Cypress Road,41.67813,-72.705894
Wyngate Circle,41.37497,-71.98823
Donovan Road,41.482746,-73.14605
Rustic View Road,41.06228,-73.603035
Unnamed Private Drive,41.545944,-72.90558
Spruce Lane,41.825073,-72.51225
Willow Brook,41.162663,-73.34868
April Lane,41.569942,-72.90588
Pease Road,41.342518,-72.99719
Oakwood Drive,41.784145,-72.2227
Pond Street,41.064373,-73.44313
State Highway 243,41.329956,-73.0598
Batson Drive,41.795876,-72.57712
Brentwood Drive,41.59644,-72.99229
Oregon Road,41.518635,-72.86716
Sunset Drive,41.618744,-72.32321
Sharon Road,41.83723,-72.75225
William Penn Drive,41.70117,-72.88292
Scovill Road Exn,41.489796,-72.5677
Merritt Street,41.353386,-73.07371
Woodruff Circle,41.62927,-72.7383
Meridian Street,41.67022,-72.992165
West Grove Street,41.270668,-72.52953
North Windham Road,41.75352,-72.15616
Lake Road,41.314976,-73.114296
Kathy Lane,41.36137,-73.087524
Hidden Hollow Road,41.697197,-73.446144
Richard Drive,41.118088,-73.35585
Booth Hill Road,41.24541,-73.1713
Tamar Lane,41.096973,-73.547264
Boulder Brook Court,41.505867,-73.00677
Aimee Drive,41.35435,-71.85181
Buena Vista Drive,41.11415,-73.34902
Quaker Lane,41.944004,-72.57132
Sir Thomas Way,41.275227,-73.227905
Kalamazoo Avenue,41.555843,-73.05962
Honek Street,41.20084,-73.090256
Ridgeway Road,41.476143,-73.46266
Catamount Road,41.189625,-73.338135
Fawn Drive,41.608288,-72.756615
Pond Li Ly Road,41.318638,-72.48202
Crest Drive,41.8463,-72.65379
Nutmeg Circle,41.33892,-73.25052
Percheron Way,41.89245,-72.4411
Kenyon Road,41.376663,-72.134796
Homer Street,41.585648,-73.04571
Columbia Street,41.300327,-73.00365
Captains Walk,41.209816,-73.11508
Elizabeth Street,41.27335,-73.22577
Union Street,41.261826,-72.84118
Brimwood Drive,41.853764,-72.495155
West Sussex Place,41.28985,-72.57815
Hudson Lane,41.347683,-72.20064
Laurel Lane,41.58004,-71.93245
Belaire Circle,41.67123,-72.64294
Wood Road,41.391106,-72.22849
Cross Lane,41.213455,-73.05945
Lambert Avenue,41.5346,-72.81669
Hoskins Road,41.893047,-72.757454
Richmond Avenue,41.418446,-73.40892
Oakleaf Drive,41.53826,-73.0612
Roseway Street,41.347717,-72.11361
Old Sawmill Drive,41.44943,-73.0402
Poplar Street,41.17398,-73.214966
Deerpath,41.85711,-73.077156
Norton Hts,41.609745,-73.00268
Hilton Street,41.071682,-73.49636
Kettle Road,41.121105,-73.43546
Blue Spruce Drive,41.359062,-73.26701
Dix Street,41.2906,-72.97548
Helena Road,41.80288,-72.88541
Roberts Road,41.826252,-72.84887
Barn Hill Road,41.587055,-73.18021
Farmstead Lane,41.788094,-72.750534
Joshua Hill Road,41.537468,-73.18844
Jewel Street,41.945053,-72.53205
Lake Street,41.55405,-73.06055
Neelans Road,41.952442,-72.5425
Old Burbank Road,41.87758,-72.379616
Norwich Avenue,41.573895,-72.26692
Marsh Road,41.288567,-72.709175
Susan Drive,41.971767,-72.33302
Wheaton Road,41.659348,-73.36855
Juniper Point Road,41.267918,-72.76766
Wedgewood Road,41.271343,-73.23877
Myrtle Street Exd,41.10716,-73.39816
Lazy Valley Road,41.68638,-72.5317
Maple Drive,41.519512,-73.01244
Moore Drive,41.84047,-72.65703
Manor Road,41.041702,-73.57249
Whittington Avenue,41.53385,-72.04799
Poplar Road,41.376606,-72.06103
Jackson Street,41.800674,-72.84226
Birchwood Lane,41.441475,-73.45093
Us Highway 202,41.83287,-72.92334
Morgan Street,41.064236,-73.53729
Rising Sun Trail,41.526894,-73.498436
Knoll Place,41.212734,-73.17534
Griswold Street,41.550663,-72.788025
Lagana Avenue,41.57456,-72.926414
Lakeview Ter,41.42232,-73.232544
Tuttle Avenue,41.447052,-72.88673
Crestview Road,41.50881,-72.42
Windy Hill Drive,41.283264,-72.46312
Seneca Road,41.26098,-73.09741
Mortar Rock Road,41.127098,-73.35837
Reed Street,41.35163,-72.10091
Frontage Road,41.951633,-72.2011
Battle Swamp Road,41.590668,-73.32956
Gallant Drive,41.590836,-72.90384
Pine Tree Hill Road,41.34931,-73.16552
Maple Valley Road,41.7766,-72.42869
Deer Creek Drive,41.293552,-72.632835
Howard Drive,41.280922,-72.6859
White Birch Lane,41.797813,-72.876625
Gaffritta Park Enterance,41.554512,-72.76577
Billow Road,41.262753,-72.38737
Wetherell Hill Road,41.99501,-71.97683
Plum Street,41.154633,-73.24069
Railroad Street,41.867588,-71.962746
Cuprak Road,41.552418,-72.07914
Heather Lane,41.913517,-72.64385
Victoria Drive,41.411556,-72.61462
Cherrywood Drive,41.933266,-72.46745
Essex Road,41.321255,-72.36524
Village Lane,41.475952,-72.805626
Villa Rosa Ter,41.223442,-73.00065
Gardan Road,41.64864,-73.39436
Boardman Lane,41.57864,-72.72669
Cranberry Bog Road,41.802727,-71.83642
Florence Street,41.68263,-72.72785
Great Hill Road,41.810364,-73.31189
Burr Street,41.53449,-73.04845
Sachem Road,41.685642,-72.83971
Fir Ridge Road,41.29459,-72.514786
Casciello Drive,41.695156,-72.87593
Quirk Road,41.238567,-73.00822
Summit Road,41.493584,-73.0637
Spruce Drive,41.211014,-73.40752
Railroad Avenue,41.844368,-71.88778
Herman Road,41.8839,-73.07303
Barrie Road,41.593353,-72.49354
Greystone Road,41.356052,-72.75198
Longview Avenue,41.088337,-73.54999
Slater Road,41.94376,-72.3806
Knibloe Hill Road,41.798416,-73.49481
Platner Street,41.75815,-72.88985
Tamarack Road,41.64589,-73.42876
William Street,41.309383,-72.91711
North Main Street,41.532623,-72.05889
Glen Court,41.516045,-72.08865
Louisiana Avenue,41.689022,-72.91905
Wellesley Drive,41.286564,-72.759605
Garland Avenue,41.19358,-73.19382
Magauran Drive,41.98104,-72.3866
Brooklyn Tpke,41.711555,-72.129
Pvt Grounds 2,41.935425,-72.37898
Mission Street,41.04733,-73.54758
Caroline Road,41.24402,-72.8831
Executive Drive,41.698517,-72.85559
West Walk,41.25894,-72.943214
Leetes Island Road,41.2877,-72.75927
Dorothy Road,41.693295,-72.91814
State Highway 287,41.691326,-72.68287
Reservoir Rdg,41.715393,-72.98192
Dorman Road,41.42069,-73.11811
Webatuck Road,41.643574,-73.49199
Grant Place,41.295704,-72.51161
Middlebrook Road,41.776443,-72.735756
Woodridge Drive,41.517605,-72.93106
Sea Meadow Lane,41.30262,-72.12651
Southworth Drive,41.852943,-72.17229
Plankton Street,41.20825,-73.22592
Eastwood Road,41.799244,-72.247795
Compo Road South,41.113926,-73.35663
Emmett Avenue,41.334618,-73.092575
Briar Ridge Drive,41.385887,-73.4119
Livery Street,41.916126,-71.908585
Cider Mill Hts,41.989582,-72.85088
Littlebrook Xing,41.70804,-72.8725
Willow Street,41.434883,-73.10042
Brook Street,41.397198,-73.09315
Sycamore Street,41.099148,-73.39931
Harbor Bluff Lane,41.06437,-73.43579
